"","year","albatross-bay","cairns","townsville","mackay","mackay-inner","hay-point","emu-park","gladstone","bundaberg","wide-bay","mooloolaba","caloundra","north-moreton","brisbane","gold-coast","palm-beach","tweed-heads"
"1",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1992,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1993,NA,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1994,NA,NA,NA,3.46,NA,2.2234,NA,NA,NA,NA,NA,NA,NA,NA,3.21,NA,NA
"21",1995,NA,1.24,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42,5.05,NA,5.1928
"22",1996,NA,1.36,2.49,3.2,NA,2.2504,NA,NA,NA,NA,NA,NA,NA,6.9,7.05,NA,NA
"23",1997,NA,NA,NA,4.81,NA,NA,3.09,NA,NA,NA,NA,NA,NA,4.44,3.02,NA,NA
"24",1998,NA,1.19,2.93,3.14,NA,2.5077,3.19,NA,NA,NA,NA,NA,NA,6.05,NA,NA,NA
"25",1999,NA,2.49,2.63,3.13,NA,NA,2.61,NA,NA,NA,NA,NA,NA,5.42,4.57,NA,NA
"26",2000,NA,2.77,NA,NA,NA,2.4227,3.01,NA,NA,NA,NA,NA,NA,5.19,3.95,NA,NA
"27",2001,NA,1.33,1.84,NA,NA,2.1281,2.4,NA,NA,NA,3.8746,NA,NA,5.43,4.05,NA,NA
