"","albatrossbay","cairns","townsville","abbotpoint","mackay","haypoint","emupark","gladstone","bundaberg","mooloolaba","caloundra","northmoreton","brisbane","goldcoast","tweedheads","byronbay","coffsharbour","crowdyhead","sydney","portkembla","batemansbay","eden","kingfishb","capesorell","capeducouedic","esperance","albany","capenaturaliste","mandurah","rottnestisland","jurienbay","ashburton","northrankin","dampier","porthedland","goodrichbank","mackayinner","skardonriveroffshore","skardonriverouter","widebay","tweedoffshore","mariaisland","lakesentrance","capebridgewater","lakesentrancee","pointnepean","wilsonspromontory","cottesloe","palmbeach","year"
"hs_1",2.944,2.792,2.58,2.542,5.09,3.194,3.088,2.348,2.418,3.296,2.432,2.98,4.264,NA,NA,4.206,3.758,4.198,4.096,3.706,2.996,4.58,5.54,8.082,6.99,5.932,6.56,7.304,5.014,5.922,6.048,1.868,4.822,2.602,2.798,2.52,3.024,1.544,4.07,3.664,3.968,4.35,3.422,6.37,4.872,4.532,6.4,2.85,2.34,"1979"
"hs_2",1.588,2.432,2.084,2.036,3.006,1.97,2.888,2.864,3.376,4.204,2.856,3.784,5.492,NA,NA,5.666,5.614,6.282,6.006,5.662,4.036,5.586,6.154,7.892,7.192,6.492,7.242,9.776,6.76,7.754,6.856,1.594,3.924,2.75,3.742,2.742,1.986,1.132,2.476,4.536,5.724,4.492,3.208,7.852,4.92,5.516,7.218,2.706,3.388,"1980"
"hs_3",1.468,2.368,2.052,2.28,3.708,2.408,4.158,3.024,2.964,5.004,3.24,4.342,6.036,NA,NA,5.05,4.024,4.308,4.258,3.954,3.37,4.742,4.92,8.472,7.182,6.394,8.236,8.238,6.312,7.228,6.85,1.696,4.562,2.648,2.142,3.92,2.34,1.082,2.264,4.238,5.424,4.76,2.962,6.602,4.072,4.44,5.804,2.78,3.214,"1981"
"hs_4",2.59,2.418,2.022,2.044,3.03,1.83,2.722,1.94,2.334,3.176,2.236,2.798,4.308,NA,NA,4.182,3.752,4.572,4.944,4.544,3.382,4.742,5.492,8.512,7.256,5.78,6.018,6.44,5.006,5.886,5.772,1.716,4.91,3.604,3.718,2.788,1.968,1.166,2.856,3.486,4.07,4.822,3.294,7.56,4.746,5.084,6.31,2.53,2.102,"1982"
"hs_5",1.244,2.036,2.048,2.098,3.8,1.868,3.436,2.384,2.196,3.706,2.576,3.334,4.994,NA,NA,4.758,4.28,5.544,5.704,5.188,4.372,6.174,5.506,7.852,7.346,5.686,6.85,7.342,6.158,7.166,6.892,1.37,4.332,1.88,3.524,2.656,2.052,1.066,1.96,4.022,4.718,4.608,3.448,7.65,4.472,4.508,6.382,2.928,2.87,"1983"
"hs_6",1.114,2.18,2.102,2.17,3.2,1.766,3.052,2.31,2.158,3.824,2.802,3.694,6.516,NA,NA,6.228,4.974,5.522,6.08,5.534,4.328,5.128,4.892,8.58,7.794,5.98,7.984,7.364,5.236,6.146,5.868,1.724,4.286,3.514,4.766,2.69,1.978,0.988,1.778,3.72,6.306,6.708,3.536,8.08,4.37,5.218,5.712,2.428,3.224,"1984"
"hs_7",1.394,2.106,1.97,2.208,3.184,1.71,2.464,1.988,2.006,2.77,2.106,2.53,4.838,NA,NA,5.51,6.224,5.716,5.3,5.002,4.216,5.292,5.132,10.128,6.886,6.712,7.41,7.602,5.674,6.36,5.538,1.468,3.44,2.428,2.916,2.5,1.968,1.242,2.83,3.292,4.678,5.374,3.564,7.754,4.398,4.578,6.824,2.746,2.684,"1985"
"hs_8",1.962,2.276,2.982,2.436,2.762,1.778,2.696,1.898,1.904,2.518,1.826,2.178,3.972,NA,NA,4.798,5.07,5.432,5.496,5.51,4.718,5.738,5.266,9.336,8.602,5.454,6.304,6.108,4.738,5.664,6.028,1.68,3.94,1.964,2.172,4.454,1.868,1.11,2.402,2.664,4.122,5.098,3.6,8.968,4.874,4.75,5.776,2.564,1.976,"1986"
"hs_9",1.518,2.314,2.226,2.338,3.436,1.882,2.674,2.03,2.012,2.76,2.07,2.462,4.878,NA,NA,4.088,4.164,5.18,4.584,3.742,3.19,4.798,5.786,10.766,7.812,6.618,7.488,6.802,4.738,5.568,5.83,1.55,3.23,2.166,3.51,3.192,2.102,1.152,2.502,3.026,4.324,4.672,3.546,8.59,4.84,5.684,6.32,2.392,2.302,"1987"
"hs_10",2.176,2.144,1.998,2.656,3.236,1.892,2.89,2.332,2.562,4.816,3.166,4.336,5.802,NA,NA,5.624,4.68,4.472,4.87,5.188,3.87,5.74,5.586,7.836,8.19,5.502,7.462,8.57,6.48,7.682,6.304,1.862,5.542,3.908,3.602,2.496,2.122,1.158,2.53,4.81,5.614,5.188,4.388,7.542,5.072,4.612,6.26,3.164,3.528,"1988"
